,src,dst,cap,
0,18,98,10240,
1,18,16,10240,
2,18,107,10240,
3,18,55,10240,
4,18,2,10240,
5,18,136,10240,
6,10,110,10240,
7,10,132,10240,
8,10,102,10240,
9,81,127,20480,
10,81,3,20480,
11,81,50,20480,
12,81,105,10240,
13,84,75,10240,
14,84,92,20480,
15,84,57,20480,
16,84,111,20480,
17,84,6,20480,
18,86,126,10240,
19,86,19,10240,
20,86,15,10240,
21,77,121,10240,
22,77,27,10240,
23,108,28,10240,
24,108,103,10240,
25,23,127,10240,
26,23,117,20480,
27,23,105,20480,
28,23,118,10240,
29,135,115,10240,
30,135,66,20480,
31,135,146,10240,
32,110,102,10240,
33,72,14,20480,
34,72,121,20480,
35,72,121,20480,
36,5,138,11264,
37,5,138,11264,
38,5,56,10240,
39,5,11,10240,
40,126,87,10240,
41,126,15,10240,
42,54,138,20480,
43,54,138,20480,
44,54,11,1024,
45,14,87,10240,
46,14,31,10240,
47,13,141,10240,
48,13,67,10240,
49,13,56,20480,
50,98,22,10240,
51,134,19,20480,
52,134,69,10240,
53,85,48,20480,
54,85,6,20480,
55,85,7,10240,
56,85,109,1024,
57,85,29,1024,
58,16,107,10240,
59,16,136,10240,
60,132,45,10240,
61,38,90,20480,
62,38,137,20480,
63,38,21,10240,
64,20,95,1024,
65,20,111,10240,
66,95,68,1024,
67,19,30,10240,
68,19,15,10240,
69,24,122,10240,
70,24,60,20480,
71,24,64,20480,
72,24,66,10240,
73,75,94,10240,
74,75,119,10240,
75,115,104,10240,
76,115,116,20480,
77,115,51,10240,
78,107,22,10240,
79,39,113,10240,
80,39,93,20480,
81,39,93,20480,
82,70,0,10240,
83,70,101,10240,
84,70,88,10240,
85,70,131,10240,
86,139,63,20480,
87,139,111,20480,
88,139,29,20480,
89,49,12,10240,
90,49,59,10240,
91,49,32,10240,
92,49,43,10240,
93,61,100,10240,
94,61,79,20480,
95,61,79,20480,
96,26,36,10240,
97,26,117,10240,
98,26,50,10240,
99,52,4,10240,
100,52,34,10240,
101,52,62,10240,
102,30,90,20480,
103,30,111,30720,
104,30,87,10240,
105,30,21,30720,
106,30,15,10240,
107,92,9,10240,
108,92,94,10240,
109,127,143,40960,
110,127,118,40960,
111,96,73,20480,
112,96,29,10240,
113,96,44,10240,
114,104,76,20480,
115,104,116,10240,
116,104,51,10240,
117,104,79,10240,
118,36,117,20480,
119,36,118,20480,
120,55,141,10240,
121,55,112,10240,
122,55,11,10240,
123,142,65,20480,
124,142,78,10240,
125,142,56,20480,
126,2,71,10240,
127,2,114,10240,
128,2,42,10240,
129,4,82,10240,
130,4,47,10240,
131,4,62,10240,
132,74,89,10240,
133,74,83,10240,
134,74,41,20480,
135,74,41,20480,
136,113,46,10240,
137,113,83,10240,
138,113,68,10240,
139,106,143,40960,
140,106,97,40960,
141,106,131,10240,
142,40,47,21504,
143,40,47,21504,
144,40,124,21504,
145,40,124,21504,
146,40,128,20480,
147,63,111,10240,
148,63,60,20480,
149,93,37,10240,
150,93,68,20480,
151,93,43,20480,
152,48,73,20480,
153,48,7,20480,
154,0,111,51200,
155,0,6,51200,
156,0,3,20480,
157,0,105,40960,
158,130,73,2048,
159,130,109,20480,
160,130,109,20480,
161,130,120,20480,
162,130,120,20480,
163,28,88,10240,
164,28,53,10240,
165,9,140,10240,
166,9,25,10240,
167,94,140,10240,
168,94,119,10240,
169,65,122,10240,
170,65,67,20480,
171,65,78,10240,
172,140,25,10240,
173,140,27,10240,
174,141,146,10240,
175,141,58,10240,
176,89,46,10240,
177,89,35,20480,
178,89,129,20480,
179,89,68,30720,
180,1,103,10240,
181,1,88,10240,
182,25,137,20480,
183,25,27,20480,
184,82,34,10240,
