 src dst cap bandwidth
0 18 98 10240 113.45064
1 18 16 10240 30.10802667
2 18 107 10240 100.7019467
3 18 55 10240 348.1700267
4 18 2 10240 111.8210667
5 18 136 10240 16.32674667
6 10 110 10240 3.42608
7 10 132 10240 21.63901333
8 10 102 10240 3.72181333
9 81 127 20480 172.9410933
10 81 3 20480 492.3648533
11 81 50 20480 361.9713867
12 81 105 10240 36.09461333
13 84 75 10240 184.38424
14 84 92 20480 337.65624
15 84 57 20480 22.30949333
16 84 111 20480 208.8219733
17 84 6 20480 317.3990667
18 86 126 10240 13.72232
19 86 19 10240 110.11616
20 86 15 10240 8.91712
21 77 121 10240 165.49688
22 77 27 10240 168.3120533
23 108 28 10240 81.08042667
24 108 103 10240 14.34482667
25 23 127 10240 35.54101333
26 23 117 20480 307.1091733
27 23 105 20480 549.39136
28 23 118 10240 112.8284267
29 135 115 10240 236.3546133
30 135 66 20480 56.47752
31 135 146 10240 67.61957333
32 110 102 10240 33.12746667
33 72 14 20480 45.07608
34 72 121 20480 29.38512
35 72 121 20480 29.38512
36 5 138 11264 156.3338667
37 5 138 11264 156.3338667
38 5 56 10240 183.75392
39 5 11 10240 26.83626667
40 126 87 10240 82.07477333
41 126 15 10240 3.59632
42 54 138 20480 10.49104
43 54 138 20480 10.49104
44 54 11 1024 41.90733333
45 14 87 10240 95.37285333
46 14 31 10240 6.91872
47 13 141 10240 136.09488
48 13 67 10240 67.64952
49 13 56 20480 191.1231733
50 98 22 10240 44.0096
51 134 19 20480 156.4812
52 134 69 10240 14.34237333
53 85 48 20480 211.48472
54 85 6 20480 1084.197893
55 85 7 10240 200.8987733
56 85 109 1024 387.4401067
57 85 29 1024 276.8857867
58 16 107 10240 18.65973333
59 16 136 10240 32.95213333
60 132 45 10240 21.63901333
61 38 90 20480 85.51541333
62 38 137 20480 64.57602667
63 38 21 10240 33.10573333
64 20 95 1024 478.8272267
65 20 111 10240 696.03064
66 95 68 1024 325.7933333
67 19 30 10240 297.7105067
68 19 15 10240 7.63952
69 24 122 10240 146.0840267
70 24 60 20480 107.2241333
71 24 64 20480 243.41104
72 24 66 10240 79.59186667
73 75 94 10240 98.24085333
74 75 119 10240 17.79533333
75 115 104 10240 44.51698667
76 115 116 20480 249.8141067
77 115 51 10240 32.79397333
78 107 22 10240 18.35130667
79 39 113 10240 47.36264
80 39 93 20480 28.60858667
81 39 93 20480 28.60858667
82 70 0 10240 351.7197867
83 70 101 10240 39.44488
84 70 88 10240 166.5711733
85 70 131 10240 84.228
86 139 63 20480 33.91133333
87 139 111 20480 450.41872
88 139 29 20480 390.0134667
89 49 12 10240 87.71733333
90 49 59 10240 216.8362667
91 49 32 10240 110.84304
92 49 43 10240 58.18077333
93 61 100 10240 160.5606133
94 61 79 20480 75.28045333
95 61 79 20480 75.28045333
96 26 36 10240 33.6916
97 26 117 10240 55.004
98 26 50 10240 36.65930667
99 52 4 10240 96.75677333
100 52 34 10240 3.41544
101 52 62 10240 10.12746667
102 30 90 20480 284.3961333
103 30 111 30720 990.9570667
104 30 87 10240 181.0202667
105 30 21 30720 121.5089333
106 30 15 10240 62.66592
107 92 9 10240 188.6320533
108 92 94 10240 25.64114667
109 127 143 40960 89.9568
110 127 118 40960 60.52957333
111 96 73 20480 54.81429333
112 96 29 10240 294.48208
113 96 44 10240 15.46213333
114 104 76 20480 60.83656
115 104 116 10240 194.51384
116 104 51 10240 81.91930667
117 104 79 10240 85.53485333
118 36 117 20480 138.16136
119 36 118 20480 26.87416
120 55 141 10240 118.57872
121 55 112 10240 123.12768
122 55 11 10240 404.46456
123 142 65 20480 64.22653333
124 142 78 10240 38.49653333
125 142 56 20480 109.50824
126 2 71 10240 164.6245067
127 2 114 10240 29.62517333
128 2 42 10240 3.70274666
129 4 82 10240 97.32968
130 4 47 10240 247.19352
131 4 62 10240 6.54546666
132 74 89 10240 382.01488
133 74 83 10240 22.44925333
134 74 41 20480 274.61688
135 74 41 20480 274.61688
136 113 46 10240 116.9010667
137 113 83 10240 33.4232
138 113 68 10240 70.48450667
139 106 143 40960 98.41706667
140 106 97 40960 150.85608
141 106 131 10240 10.56674667
142 40 47 21504 25.2028
143 40 47 21504 25.2028
144 40 124 21504 205.0594667
145 40 124 21504 205.0594667
146 40 128 20480 35.73712
147 63 111 10240 359.38448
