,src,dst,bandwidth,
0,2,107,11.23944473,
1,68,73,0.103590965,
2,118,23,0.279767036,
3,112,68,56.95490265,
4,63,139,35.85862446,
5,43,37,0.523765564,
6,35,74,0.001254082,
7,137,38,10.25207615,
8,59,47,838.0628424,
9,37,99,0.048969269,
10,137,21,3.396245956,
11,53,68,83.7885704,
12,130,85,0.006480217,
13,95,62,0.039683342,
14,20,19,0.039684296,
15,6,74,662.5154552,
16,76,115,0.165813446,
17,65,66,0.032169342,
18,27,9,0.060444832,
19,96,134,0.001440048,
20,6,15,142.0912437,
21,91,68,0.064097404,
22,6,24,481.1774435,
23,77,59,0.064146996,
24,135,61,32.4,
25,92,119,2.182148933,
26,35,129,2.032666206,
27,100,59,0.048138618,
28,20,39,0.039683342,
29,63,68,28.49507523,
30,2,111,5.92880249,
31,37,24,1.43E-05,
32,59,111,31767.54435,
33,82,62,38.81583214,
34,55,56,0.000951767,
35,43,49,38.50045776,
36,59,73,0.365523338,
37,131,70,20.32262421,
38,85,6,0.12768364,
39,6,59,0.219590187,
40,35,89,2.32011795,
41,3,81,0.047504425,
42,19,6,0.068208694,
43,89,113,6.78810215,
44,92,111,143.0244455,
45,74,129,0.003522873,
46,48,68,33.70105553,
47,115,71,0.00174427,
48,36,97,0.005074501,
49,74,113,0.013970375,
50,104,90,0.000386238,
51,46,119,9.54E-07,
52,95,4,0.039683342,
53,65,78,10.8518362,
54,142,73,1.24E-05,
55,68,13,8.552761078,
56,119,48,0.005186081,
57,109,139,0.00069046,
58,6,33,546.1987295,
59,96,47,0.000135422,
60,142,56,12.10882664,
61,61,8,0.000382423,
62,40,12,0.003586769,
63,59,78,0.389201164,
64,30,111,446.9408064,
65,40,128,34.65431309,
66,95,77,0.039678574,
67,6,27,606.5729322,
68,49,76,0.001349449,
69,6,22,362.5124598,
70,59,36,512.2892609,
71,68,61,36.86039448,
72,30,59,0.064397812,
73,6,49,343.6981096,
74,6,58,963.070837,
75,68,146,457.7722034,
76,36,22,0.001239777,
77,91,37,0.053414345,
78,86,126,6.043253899,
79,68,53,283.0957251,
80,63,111,70.4918108,
81,14,111,122.2929106,
82,96,43,0.000163078,
83,73,109,0.001149178,
84,105,0,2.586881638,
85,53,101,16.52310944,
86,6,140,539.588623,
87,68,52,392.0160561,
88,20,2,0.039683342,
89,93,68,147.7215281,
90,6,50,3337.748965,
91,113,68,82.6575346,
92,68,25,259.933095,
93,68,111,2598.029859,
94,49,43,9.607548714,
95,68,108,0.105248451,
96,6,129,1311.634686,
97,68,119,311.9542322,
98,20,121,0.039685249,
99,134,111,25.6148119,
100,20,113,0.039683342,
101,68,128,1165.32268,
102,146,141,18.11831284,
103,20,26,0.039685249,
104,102,68,86.53107834,
105,82,52,156.9269733,
106,94,53,0.049506187,
107,46,58,0.009292603,
108,38,137,3.498464584,
109,143,0,0.440593719,
110,46,115,0.140450478,
111,37,23,0.000123978,
112,135,122,0.006071091,
113,37,79,0.009624481,
114,68,104,229.0547152,
115,99,124,9.558564186,
116,3,142,0.010081291,
117,43,61,0.000389099,
118,109,60,0.00154686,
